2E-02,3.6E-01,2E-01,2.6E-01,3.2E-01,0E+00,1.5E-01,1.7E-01,1.2E-01,1.3E-01,8E-02,3.2E-01
5.1E-01,3.2E-01,1E-01,2.1E-01,4.4E-01,6.5E-01,6.2E-01,4.3E-01,2.2E-01,9.1E-01,1.14E+00,1.62E+00
1.61E+00,1.62E+00,1.5E+00,1.41E+00,1.27E+00,5.3E-01,2.7E-01,-1.5E-01,-1.4E-01,-3.5E-01,-1.4E-01,4E-02
2.8E-01,4.2E-01,4.7E-01,9.2E-01,9.3E-01,6.4E-01,3.3E-01,1.6E-01,2.6E-01,3.6E-01,2.8E-01,1.9E-01
3E-02,-1.6E-01,-6E-02,3E-02,1.4E-01,2.7E-01,1.6E-01,5.2E-01,4E-01,9E-01,1.14E+00,1.21E+00
1.1E+00,8.7E-01,4.9E-01,2.7E-01,3E-02,8E-02,3E-02,-3.8E-01,-5.7E-01,-7.2E-01,-7.8E-01,-7.2E-01
-6.5E-01,-6.6E-01,-4.8E-01,-3.4E-01,-4E-01,-1.2E-01,-1.4E-01,-3E-01,-3.4E-01,-2.8E-01,-3E-01,-4.3E-01
-4.3E-01,-2.4E-01,-6E-02,3.4E-01,8.7E-01,1.15E+00,1.6E+00,1.94E+00,2.1E+00,2.29E+00,2.42E+00,2.3E+00
2.42E+00,2.08E+00,1.49E+00,9E-01,6.8E-01,-3.9E-01,-7.3E-01,-8.3E-01,-8.2E-01,-1.19E+00,-1.23E+00,-1.51E+00
-1.53E+00,-1.41E+00,-9.2E-01,-8.1E-01,-8.7E-01,-9.5E-01,-8.4E-01,-9.8E-01,-8.4E-01,-1.03E+00,-1.41E+00,-1.54E+00
-1.79E+00,-1.53E+00,-1.26E+00,-8E-01,-8E-01,-7.5E-01,-5.7E-01,-3.6E-01,-3.9E-01,-5.5E-01,-7.5E-01,-9.2E-01
-8.8E-01,-6.3E-01,-4.8E-01,-3E-01,-3E-01,-1.1E-01,1E-02,-7E-02,-2.8E-01,-2.6E-01,-2.8E-01,-4.6E-01
-1.4E-01,0E+00,1.1E-01,1.4E-01,2.1E-01,6.8E-01,5.7E-01,7E-01,8.2E-01,1.16E+00,1.41E+00,1.41E+00
